Gene,log2FoldChange,p_value,padj
ENSSSCG00000013150,-0.051486314264585324,0.6646510686951164,0.6646510686951164
ENSSSCG00000013151,-0.30274500893681777,0.3051677466503361,0.3051677466503361
ENSSSCG00000013155,0.007423870036567781,0.2863553157878045,0.2863553157878045
ENSSSCG00000013157,0.007690991313372969,0.7849307797374446,0.7849307797374446
ENSSSCG00000013162,0.007690991313372969,0.7849307797374446,0.7849307797374446
ENSSSCG00000013172,-0.42447719638250436,0.4902598680015329,0.4902598680015329
ENSSSCG00000013173,-0.11182193809180765,0.3527431025971085,0.3527431025971085
ENSSSCG00000013174,0.0029187943779506588,0.830263805417297,0.830263805417297
ENSSSCG00000013175,0.1459610815518413,0.5444665533044475,0.5444665533044475
ENSSSCG00000013176,0.008363448539894961,0.2717424945094261,0.2717424945094261
ENSSSCG00000013177,0.025612308020744257,0.034792626295813985,0.034792626295813985
ENSSSCG00000013178,0.035880326066005344,0.015784457292471677,0.015784457292471677
ENSSSCG00000013181,-0.001231325996591839,0.9738489095786458,0.9738489095786458
ENSSSCG00000013184,0.007690991313372969,0.7849307797374446,0.7849307797374446
ENSSSCG00000013185,0.007690991313372969,0.7849307797374446,0.7849307797374446
ENSSSCG00000013186,0.007690991313372969,0.7849307797374446,0.7849307797374446
ENSSSCG00000013188,0.02483903816760197,0.9019576440942116,0.9019576440942116
ENSSSCG00000013192,0.007690991313372969,0.7849307797374446,0.7849307797374446
ENSSSCG00000013193,0.007690991313372969,0.7849307797374446,0.7849307797374446
ENSSSCG00000013194,-0.11525575962124328,0.7210807284382104,0.7210807284382104
ENSSSCG00000013195,0.15624038968558712,0.30728085368663627,0.30728085368663627
ENSSSCG00000013197,0.12547228339595415,0.28809516562544224,0.28809516562544224
ENSSSCG00000013201,-0.11843050531210489,0.38219106068355724,0.38219106068355724
ENSSSCG00000013223,0.04025356075406672,0.009358522527582314,0.009358522527582314
ENSSSCG00000013226,-0.03569182124213453,0.06371976703330232,0.06371976703330232
ENSSSCG00000013227,0.010954250165080006,0.5134087629945894,0.5134087629945894
ENSSSCG00000013230,-1.0646918392857379,0.6863584414007582,0.6863584414007582
ENSSSCG00000013231,-0.02349119654675447,0.43892059701788066,0.43892059701788066
ENSSSCG00000013232,-0.005976373982906166,0.6274764444548042,0.6274764444548042
ENSSSCG00000013233,0.016831564379572863,0.03602528450282775,0.03602528450282775
ENSSSCG00000013235,0.006371118930189813,0.3249197845452453,0.3249197845452453
ENSSSCG00000013236,0.0713510002680448,0.059797141622312824,0.059797141622312824
ENSSSCG00000013237,-0.018433706619277283,0.4459277381770024,0.4459277381770024
ENSSSCG00000013238,-0.006748007125709095,0.7100201757269481,0.7100201757269481
ENSSSCG00000013239,-0.01960974746449184,0.029888849194942484,0.029888849194942484
ENSSSCG00000013241,0.032249401142523705,0.2628595595741436,0.2628595595741436
ENSSSCG00000013242,0.020194041314776305,0.12514503037835764,0.12514503037835764
ENSSSCG00000013243,-0.031151437152425243,0.09209613849908527,0.09209613849908527
ENSSSCG00000013244,-0.06316903772907141,0.023784711743093614,0.023784711743093614
ENSSSCG00000013245,-0.005770388666975071,0.568300661581508,0.568300661581508
ENSSSCG00000013246,0.009853949729931236,0.44118138537943963,0.44118138537943963
ENSSSCG00000013248,-0.058298059604658746,0.03370484486909273,0.03370484486909273
ENSSSCG00000013249,0.0024502308116558145,0.7863774839656728,0.7863774839656728
ENSSSCG00000013252,-0.05193910873362169,0.19383916355889338,0.19383916355889338
ENSSSCG00000013256,0.0009568282064053922,0.89205806001611,0.89205806001611
ENSSSCG00000013257,-0.0004305270979816921,0.9338748047259512,0.9338748047259512
ENSSSCG00000013258,0.012258606282415587,0.5688229014717578,0.5688229014717578
ENSSSCG00000013259,-0.005617760289509184,0.19338536167318607,0.19338536167318607
ENSSSCG00000013260,-0.01756149027724113,0.6678747042138962,0.6678747042138962
