Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	threshold
ENSSSCG00000025599	220.98683084151077	-0.09755869213217316	0.042534926920962134	-2.2936137239275265	0.021812696382171707	0.12861232589329183	FALSE
ENSSSCG00000002743	951.6481561372999	-0.09757463709181693	0.03778289904011201	-2.582507948588787	0.009808510273704685	0.08277560416929734	FALSE
ENSSSCG00000003747	48.34134617609577	-0.09757670865027827	0.078462427325545675	-1.243610629651135	0.21364290211680753	0.4681533945386967	FALSE
ENSSSCG00000021495	92.01078603601391	-0.09762856972293245	0.06598483452968448	-1.4795607266244255	0.13899051393070339	0.3683066216914387	FALSE
ENSSSCG00000012604	2468.8184943917868	-0.09763335982497014	0.046693866631611486	-2.0909247159855657	0.03653481311733534	0.17198732043796283	FALSE
ENSSSCG00000005626	178.70415575680326	-0.09765811591109376	0.05658907715140511	-1.725741447414095	0.08439393788305292	0.2797246214272168	FALSE
ENSSSCG00000035912	4.481859302110696	-0.09766354152621565	0.2246074296602084	-0.43481883780052794	0.6636939302591334	NA	NA
ENSSSCG00000027372	176.18995474249846	-0.09778923749351696	0.1518955486428869	-0.6437926480875602	0.5197099018004808	0.7463603684844089	FALSE
ENSSSCG00000021306	67.93594665039103	-0.0978153951347896	0.0908113365909362	-1.0771275790753252	0.28142327364077657	0.5466043421849327	FALSE
ENSSSCG00000036865	21.360079589044005	-0.09783654894295625	0.15200211530740818	-0.6436525488154701	0.5198007664028699	0.7463603684844089	FALSE
ENSSSCG00000011896	25.55247194755211	-0.0978868518975445	0.11239725755572781	-0.87090071436139	0.38380836671857765	0.6398914317875959	FALSE
ENSSSCG00000031115	31.1810585323319	-0.09791120954192357	0.10108099450169897	-0.9686411379765153	0.3327242704932661	0.5956000416489386	FALSE
ENSSSCG00000031142	13.113917243221128	-0.09795053379424341	0.1498452393093387	-0.6536779830024196	0.5133192908665445	0.7414122404275584	FALSE
ENSSSCG00000029183	208.62648796819423	-0.0979645064595837	0.04232618700832363	-2.3145129146719157	0.020639603668185506	0.12487661124690425	FALSE
ENSSSCG00000004133	412.8262903779543	-0.0979665419628832	0.055492623215761205	-1.7653975661229582	0.07749697216059143	0.2669731907188345	FALSE
ENSSSCG00000006018	136.12765328076728	-0.09811473369404705	0.08068321317926781	-1.2160489131245755	0.22396628970969276	0.4815463750524623	FALSE
ENSSSCG00000006202	258.65544377785307	-0.09811540227420228	0.04361981014252468	-2.2493312546207114	0.024491428751850328	0.13731884376824188	FALSE
ENSSSCG00000004507	208.2970223120036	-0.09813628333070708	0.04891831139179249	-2.006125733668975	0.044842834915857256	0.1951436471165926	FALSE
ENSSSCG00000013344	332.29747681822994	-0.0981834629800722	0.055160597070599435	-1.7799564942056063	0.07508308093752061	0.2619949718243807	FALSE
ENSSSCG00000036074	203.47665364922284	-0.09825655606712133	0.08315868493540379	-1.1815549529606595	0.23738233659565391	0.4984307811825628	FALSE
ENSSSCG00000035711	1.1956097625559092	-0.09827660905020046	0.47792108487080387	-0.20563354947348161	0.8370771688445453	NA	NA
ENSSSCG00000015839	467.4886075707774	-0.09836416295990788	0.055901274872716296	-1.759605003354162	0.07847480261487702	0.2686914788152154	FALSE
ENSSSCG00000016031	373.93293243910375	-0.09840641767734334	0.06496227265084858	-1.5148241227065182	0.12981694982969316	0.3547288586412081	FALSE
ENSSSCG00000022643	3.8847816992658735	-0.09845175368782293	0.2959199385337152	-0.33269726323833354	0.7393628156002787	NA	NA
ENSSSCG00000015360	782.0501598418163	-0.09845965210336853	0.0410886577043098	-2.396273268694321	0.016562736949807567	0.11128042962195465	FALSE
ENSSSCG00000005631	1097.3781905357112	-0.09847963512082004	0.050608650596212314	-1.9459051755114476	0.05166613114740457	0.21244417325449222	FALSE
ENSSSCG00000014575	58.82034314746278	-0.09848310898953838	0.0790374886882009	-1.2460303410961033	0.21275325637955647	0.4673718245510179	FALSE
ENSSSCG00000018580	1.2474089865371054	-0.09848585886303848	0.4506326637840335	-0.21855020014758186	0.8270004494202351	NA	NA
ENSSSCG00000040763	44.41129921107752	-0.09850426648289456	0.10353640992288438	-0.9513973543825034	0.34140270283913965	0.6025117384855353	FALSE
ENSSSCG00000013513	2.9381143269489662	-0.09853976250280679	0.3553018152828358	-0.27734100492665603	0.7815182765679265	NA	NA
ENSSSCG00000017495	2.419011806881603	-0.09860431950542306	0.3189708478271103	-0.3091327002988966	0.7572205853518367	NA	NA
ENSSSCG00000007987	507.4072387433673	-0.09864827298064922	0.06089116432472904	-1.6200753274245787	0.10521609664973665	0.3163882593711227	FALSE
ENSSSCG00000006620	37.325424803791115	-0.09868294016750796	0.09933281970384494	-0.9934575547309081	0.32048702544841634	0.5843312681664842	FALSE
ENSSSCG00000004044	638.3968586714125	-0.09876068273548114	0.03491233192765412	-2.8288194251857646	0.004672005174033829	0.054341663867563984	FALSE
ENSSSCG00000035293	401.696670707301	-0.09880793280419359	0.23810223858700855	-0.41498111647567176	0.678155726897874	0.8435310331122302	FALSE
ENSSSCG00000009234	106.55249253677586	-0.09884216186704438	0.06097296805794689	-1.6210816861188015	0.105000121099122	0.316253348036019	FALSE
ENSSSCG00000038095	102.63440966453395	-0.09888188310517851	0.07819235856542857	-1.2645977806442261	0.20601554905532546	0.4590787926565404	FALSE
ENSSSCG00000023806	661.4950812036976	-0.09888731252629551	0.06071688876826335	-1.628662379321119	0.10338451099247076	0.31381334765181773	FALSE
ENSSSCG00000035086	80.44638818192459	-0.09893107125545646	0.07507642608586325	-1.317738155813533	0.18759131695157083	0.43739536626860487	FALSE
ENSSSCG00000031105	75.66051864793006	-0.0989552922988483	0.065489179171999	-1.5110174466984048	0.13078400584793437	0.35654239146014727	FALSE
ENSSSCG00000012307	31.38552856033169	-0.09902413610536827	0.09756602596362146	-1.0149448553156246	0.31013211476694785	0.5744726326456963	FALSE
