Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSSSCG00000008923	7.779251067262783	0.4976425870451482	0.32277357982955057	0.002374224554000601	0.035143156032484996	TRUE
ENSSSCG00000016452	47.445690612183455	0.49401355094148647	0.15308219480301274	4.4949799458132025e-5	0.0034794814151978526	TRUE
ENSSSCG00000037347	137.70893447652287	0.4901900229726193	0.17360204265260679	1.6941332574781884e-4	0.007265776112362022	TRUE
ENSSSCG00000001470	42.80808310268614	0.48498652758066146	0.22564142615264327	8.663964071579225e-4	0.0191617584393586	TRUE
ENSSSCG00000011436	28.504705410070788	0.4797301781345411	0.16218347616249804	1.0946501790132513e-4	0.005718990255600256	TRUE
ENSSSCG00000001572	196.92947239462038	0.4794873050250492	0.08848779045615186	2.7851469522285473e-9	3.7676847418340305e-6	TRUE
ENSSSCG00000039756	32.89393750451759	0.46754557507047423	0.1312371760175003	1.4765171979389851e-5	0.001723209148240791	TRUE
ENSSSCG00000025133	155.7027330712219	0.46665811262257423	0.10376790072754742	3.042135117661887e-7	1.1257383903699061e-4	TRUE
ENSSSCG00000040016	8.094072181751896	0.4662082430746747	0.2831313942227922	0.0022671940139862836	0.034137180913219496	TRUE
ENSSSCG00000015246	19.321007727611214	0.46321293795729246	0.18766630192160938	4.1078454790218676e-4	0.012078339458860422	TRUE
ENSSSCG00000002960	25.365386839937376	0.4622202775087632	0.12555589254247115	9.543174973536433e-6	0.001248181471538748	TRUE
ENSSSCG00000011286	34.38967094424744	0.46129254318125384	0.24033925693728111	0.0014418330680796812	0.025980393478509407	TRUE
ENSSSCG00000023639	11.190191877742594	0.4603854883009839	0.17681799170289073	3.1378127923418185e-4	0.01055333956315874	TRUE
ENSSSCG00000016174	1891.6898972745332	0.45773018527913617	0.18943786868989554	6.269964957496202e-4	0.015417813344429881	TRUE
ENSSSCG00000003572	19.899223649926174	0.4543333362706763	0.16089366962466983	1.7232806938267674e-4	0.007303244325904948	TRUE
ENSSSCG00000015671	12.719619336437884	0.45391252599905224	0.2308295602963597	0.0012749309126233552	0.024327209239571504	TRUE
ENSSSCG00000008294	27.676751092004743	0.45047609419576845	0.32650087741635625	0.0032080650766956155	0.042546121803868776	TRUE
ENSSSCG00000011038	26.245551301162372	0.4487268144875806	0.20240270210830066	8.110343312401617e-4	0.01828382299194017	TRUE
ENSSSCG00000003437	2.168560003909195	0.4471079121227096	1.2746138777427791	0.0056315354199675555	NA	NA
ENSSSCG00000002830	46.825989169042835	0.44684830762890376	0.13394182385462286	3.205775826755096e-5	0.002647328520846739	TRUE
ENSSSCG00000039855	32.47635203651492	0.445655502862589	0.1688984542639073	2.7955310628115823e-4	0.009738252682234874	TRUE
ENSSSCG00000039651	72.62882524634422	0.44071413215333466	0.18335474637508975	5.120554885118279e-4	0.013495664409771874	TRUE
ENSSSCG00000006572	76.98627445074567	0.4381245386278098	0.16070279346422128	2.2581564586500235e-4	0.008586654082866706	TRUE
ENSSSCG00000035227	6.946516904544471	0.43778285057362043	0.3167377356989669	0.0032817047753988973	0.043108246625413044	TRUE
ENSSSCG00000000033	32.571107745574494	0.4347004340652004	0.1494387911755767	1.3094033083493783e-4	0.0063067514267545295	TRUE
ENSSSCG00000038094	26.6286324891272	0.4345807923451395	0.20771185299903433	0.0010615480186993047	0.021735231497578746	TRUE
ENSSSCG00000007358	22.404271692902135	0.4344068071455538	0.16875727775907653	3.5007536361661136e-4	0.011065298784981725	TRUE
ENSSSCG00000012201	10.323336217116305	0.4326408568688137	0.23382477544271033	0.0015799317154491493	0.027126394151453823	TRUE
ENSSSCG00000025266	23.136198006685074	0.4306403168489424	0.14710114018903098	1.2939585863398014e-4	0.006272185198705261	TRUE
ENSSSCG00000010660	49.83256267183779	0.42925589397623126	0.1601706149766815	2.665277754915482e-4	0.009492392980652041	TRUE
